"lower_case_title","rental_rate","sale_rate"
"curtain videotape","0.99","0.7425"
"cyclone family","2.99","2.2425"
"daddy pittsburgh","4.99","3.7425"
"daisy menagerie","4.99","3.7425"
"dalmations sweden","0.99","0.7425"
"dances none","0.99","0.7425"
"dancing fever","0.99","0.7425"
"dangerous uptown","4.99","3.7425"
"dares pluto","2.99","2.2425"
"darkness war","2.99","2.2425"
"darko dorado","4.99","3.7425"
"darling breaking","4.99","3.7425"
"darn forrester","4.99","3.7425"
"daughter madigan","4.99","3.7425"
"dawn pond","4.99","3.7425"
"day unfaithful","4.99","3.7425"
"dazed punk","4.99","3.7425"
"deceiver betrayed","0.99","0.7425"
"deep crusade","4.99","3.7425"
"deer virginian","2.99","2.2425"
"deliverance mulholland","0.99","0.7425"
"desert poseidon","4.99","3.7425"
"desire alien","2.99","2.2425"
"desperate trainspotting","4.99","3.7425"
"destination jerk","0.99","0.7425"
"destiny saturday","4.99","3.7425"
"details packer","4.99","3.7425"
"detective vision","0.99","0.7425"
"devil desire","4.99","3.7425"
"diary panic","2.99","2.2425"
"dinosaur secretary","2.99","2.2425"
"dirty ace","2.99","2.2425"
"disciple mother","0.99","0.7425"
"disturbing scarface","2.99","2.2425"
"divide monster","2.99","2.2425"
"divine resurrection","2.99","2.2425"
"divorce shining","2.99","2.2425"
"doctor grail","2.99","2.2425"
"dogma family","4.99","3.7425"
"dolls rage","2.99","2.2425"
"donnie alley","0.99","0.7425"
"doom dancing","0.99","0.7425"
"doors president","4.99","3.7425"
"dorado notting","4.99","3.7425"
"double wrath","0.99","0.7425"
"doubtfire labyrinth","4.99","3.7425"
"downhill enough","0.99","0.7425"
"dozen lion","4.99","3.7425"
"dracula crystal","0.99","0.7425"
"dragon squad","0.99","0.7425"
"dragonfly strangers","4.99","3.7425"
"dream pickup","2.99","2.2425"
"drifter commandments","4.99","3.7425"
"driver annie","2.99","2.2425"
"driving polish","4.99","3.7425"
"drop waterfront","4.99","3.7425"
"drumline cyclone","0.99","0.7425"
"drums dynamite","0.99","0.7425"
"duck racer","2.99","2.2425"
"dude blindness","4.99","3.7425"
"duffel apocalypse","0.99","0.7425"
"dumbo lust","0.99","0.7425"
"durham panky","4.99","3.7425"
"dwarfs alter","2.99","2.2425"
"dying maker","4.99","3.7425"
"dynamite tarzan","0.99","0.7425"
"eagles panky","4.99","3.7425"
"early home","4.99","3.7425"
"earring instinct","0.99","0.7425"
"earth vision","0.99","0.7425"
"easy gladiator","4.99","3.7425"
"edge kissing","4.99","3.7425"
"effect gladiator","0.99","0.7425"
"egg igby","2.99","2.2425"
"egypt tenenbaums","0.99","0.7425"
"element freddy","4.99","3.7425"
"elephant trojan","4.99","3.7425"
"elf murder","4.99","3.7425"
"elizabeth shane","4.99","3.7425"
"empire malkovich","0.99","0.7425"
"encino elf","0.99","0.7425"
"encounters curtain","0.99","0.7425"
"ending crowds","0.99","0.7425"
"enemy odds","4.99","3.7425"
"english bulworth","0.99","0.7425"
"enough raging","2.99","2.2425"
"entrapment satisfaction","0.99","0.7425"
"escape metropolis","2.99","2.2425"
"eve resurrection","4.99","3.7425"
"everyone craft","0.99","0.7425"
"evolution alter","0.99","0.7425"
"excitement eve","0.99","0.7425"
"exorcist sting","2.99","2.2425"
"expecations natural","4.99","3.7425"
"expendable stallion","0.99","0.7425"
"express lonely","2.99","2.2425"
"extraordinary conquerer","2.99","2.2425"
"eyes driving","2.99","2.2425"
"factory dragon","0.99","0.7425"
"falcon volume","4.99","3.7425"
"family sweet","0.99","0.7425"
"fantasia park","2.99","2.2425"
"fantasy troopers","0.99","0.7425"
"fargo gandhi","2.99","2.2425"
"fatal haunted","2.99","2.2425"
"feathers metal","0.99","0.7425"
"fellowship autumn","4.99","3.7425"
"ferris mother","2.99","2.2425"
"feud frogmen","0.99","0.7425"
"fever empire","4.99","3.7425"
"fiction christmas","0.99","0.7425"
"fiddler lost","4.99","3.7425"
"fidelity devil","4.99","3.7425"
"fight jawbreaker","0.99","0.7425"
"finding anaconda","0.99","0.7425"
"fire wolves","4.99","3.7425"
"fireball philadelphia","0.99","0.7425"
"firehouse vietnam","0.99","0.7425"
"fish opus","2.99","2.2425"
"flamingos connecticut","4.99","3.7425"
"flash wars","4.99","3.7425"
"flatliners killer","2.99","2.2425"
"flight lies","4.99","3.7425"
"flintstones happiness","4.99","3.7425"
"floats garden","2.99","2.2425"
"flying hook","2.99","2.2425"
"fool mockingbird","4.99","3.7425"
"forever candidate","2.99","2.2425"
"forrest sons","2.99","2.2425"
"forrester comancheros","4.99","3.7425"
"forward temple","2.99","2.2425"
"frankenstein stranger","0.99","0.7425"
"freaky pocus","2.99","2.2425"
"freddy storm","4.99","3.7425"
"freedom cleopatra","0.99","0.7425"
"french holiday","4.99","3.7425"
"frida slipper","2.99","2.2425"
"frisco forrest","4.99","3.7425"
"frogmen breaking","0.99","0.7425"
"frontier cabin","4.99","3.7425"
"frost head","0.99","0.7425"
"fugitive maguire","4.99","3.7425"
"full flatliners","2.99","2.2425"
"fury murder","0.99","0.7425"
"gables metropolis","0.99","0.7425"
"galaxy sweethearts","4.99","3.7425"
"games bowfinger","4.99","3.7425"
"gandhi kwai","0.99","0.7425"
"gangs pride","2.99","2.2425"
"garden island","4.99","3.7425"
"gaslight crusade","2.99","2.2425"
"gathering calendar","0.99","0.7425"
"gentlemen stage","2.99","2.2425"
"ghost groundhog","4.99","3.7425"
"ghostbusters elf","0.99","0.7425"
"giant troopers","2.99","2.2425"
"gilbert pelican","0.99","0.7425"
"gilmore boiled","0.99","0.7425"
"gladiator westward","4.99","3.7425"
"glass dying","0.99","0.7425"
"gleaming jawbreaker","2.99","2.2425"
"glory tracy","2.99","2.2425"
"go purple","0.99","0.7425"
"godfather diary","2.99","2.2425"
"gold river","4.99","3.7425"
"goldfinger sensibility","0.99","0.7425"
"goldmine tycoon","0.99","0.7425"
"gone trouble","2.99","2.2425"
"goodfellas salute","4.99","3.7425"
"gorgeous bingo","2.99","2.2425"
"gosford donnie","4.99","3.7425"
"graceland dynamite","4.99","3.7425"
"graduate lord","2.99","2.2425"
"graffiti love","0.99","0.7425"
"grail frankenstein","2.99","2.2425"
"grapes fury","0.99","0.7425"
"grease youth","0.99","0.7425"
"greatest north","2.99","2.2425"
"greedy roots","0.99","0.7425"
"greek everyone","2.99","2.2425"
"grinch massage","4.99","3.7425"
"grit clockwork","0.99","0.7425"
"groove fiction","0.99","0.7425"
"grosse wonderful","4.99","3.7425"
"groundhog uncut","4.99","3.7425"
"gump date","4.99","3.7425"
"gun bonnie","0.99","0.7425"
"gunfight moon","0.99","0.7425"
"gunfighter mussolini","2.99","2.2425"
"guys falcon","4.99","3.7425"
"half outfield","2.99","2.2425"
"hall cassidy","4.99","3.7425"
"halloween nuts","2.99","2.2425"
"hamlet wisdom","2.99","2.2425"
"handicap boondock","0.99","0.7425"
"hanging deep","4.99","3.7425"
"hanky october","2.99","2.2425"
"hanover galaxy","4.99","3.7425"
"happiness united","2.99","2.2425"
"hardly robbers","2.99","2.2425"
"harold french","0.99","0.7425"
"harper dying","0.99","0.7425"
"harry idaho","4.99","3.7425"
"hate handicap","0.99","0.7425"
"haunted antitrust","4.99","3.7425"
"haunting pianist","0.99","0.7425"
"hawk chill","0.99","0.7425"
"head stranger","4.99","3.7425"
"heartbreakers bright","4.99","3.7425"
"heaven freedom","2.99","2.2425"
"heavenly gun","4.99","3.7425"
"heavyweights beast","4.99","3.7425"
"hedwig alter","2.99","2.2425"
"hellfighters sierra","2.99","2.2425"
"high encino","2.99","2.2425"
"highball potter","0.99","0.7425"
"hills neighbors","0.99","0.7425"
"hobbit alien","0.99","0.7425"
"hocus frida","2.99","2.2425"
"holes brannigan","4.99","3.7425"
"holiday games","4.99","3.7425"
"hollow jeopardy","4.99","3.7425"
"hollywood anonymous","0.99","0.7425"
"holocaust highball","0.99","0.7425"
"holy tadpole","0.99","0.7425"
"home pity","4.99","3.7425"
"homeward cider","0.99","0.7425"
"homicide peach","2.99","2.2425"
"honey ties","0.99","0.7425"
"hook chariots","0.99","0.7425"
"hoosiers birdcage","2.99","2.2425"
"hope tootsie","2.99","2.2425"
"horn working","2.99","2.2425"
"horror reign","0.99","0.7425"
"hotel happiness","4.99","3.7425"
"hours rage","0.99","0.7425"
"house dynamite","2.99","2.2425"
"human graffiti","2.99","2.2425"
"hunchback impossible","4.99","3.7425"
"hunger roof","0.99","0.7425"
"hunter alter","2.99","2.2425"
"hunting musketeers","2.99","2.2425"
"hurricane affair","2.99","2.2425"
"hustler party","4.99","3.7425"
"hyde doctor","2.99","2.2425"
"hysterical grail","4.99","3.7425"
"ice crossing","2.99","2.2425"
"idaho love","2.99","2.2425"
"identity lover","2.99","2.2425"
"idols snatchers","2.99","2.2425"
"igby maker","4.99","3.7425"
"illusion amelie","0.99","0.7425"
"image princess","2.99","2.2425"
"impact aladdin","0.99","0.7425"
"impossible prejudice","4.99","3.7425"
"inch jet","4.99","3.7425"
"independence hotel","0.99","0.7425"
"indian love","0.99","0.7425"
"informer double","4.99","3.7425"
"innocent usual","4.99","3.7425"
"insects stone","0.99","0.7425"
"insider arizona","2.99","2.2425"
"instinct airport","2.99","2.2425"
"intentions empire","2.99","2.2425"
"interview liaisons","4.99","3.7425"
"intolerable intentions","4.99","3.7425"
"intrigue worst","0.99","0.7425"
"invasion cyclone","2.99","2.2425"
"iron moon","4.99","3.7425"
"ishtar rocketeer","4.99","3.7425"
"island exorcist","2.99","2.2425"
"italian african","4.99","3.7425"
"jacket frisco","2.99","2.2425"
"jade bunch","2.99","2.2425"
"japanese run","0.99","0.7425"
"jason trap","2.99","2.2425"
"jawbreaker brooklyn","0.99","0.7425"
"jaws harry","2.99","2.2425"
"jedi beneath","0.99","0.7425"
"jeepers wedding","2.99","2.2425"
"jekyll frogmen","2.99","2.2425"
"jeopardy encino","0.99","0.7425"
"jericho mulan","2.99","2.2425"
"jerk paycheck","2.99","2.2425"
"jersey sassy","4.99","3.7425"
"jet neighbors","4.99","3.7425"
"jingle sagebrush","4.99","3.7425"
"joon northwest","0.99","0.7425"
"juggler hardly","0.99","0.7425"
"jumanji blade","2.99","2.2425"
"jumping wrath","0.99","0.7425"
"jungle closer","0.99","0.7425"
"kane exorcist","0.99","0.7425"
"karate moon","0.99","0.7425"
"kentuckian giant","2.99","2.2425"
"kick savannah","0.99","0.7425"
"kill brotherhood","0.99","0.7425"
"killer innocent","2.99","2.2425"
"king evolution","4.99","3.7425"
"kiss glory","4.99","3.7425"
"kissing dolls","4.99","3.7425"
"knock warlock","2.99","2.2425"
"kramer chocolate","2.99","2.2425"
"kwai homeward","0.99","0.7425"
"labyrinth league","2.99","2.2425"
"lady stage","4.99","3.7425"
"ladybugs armageddon","0.99","0.7425"
"lambs cincinatti","4.99","3.7425"
"language cowboy","0.99","0.7425"
"lawless vision","4.99","3.7425"
"lawrence love","0.99","0.7425"
"league hellfighters","4.99","3.7425"
"leathernecks dwarfs","2.99","2.2425"
"lebowski soldiers","2.99","2.2425"
"legally secretary","4.99","3.7425"
"legend jedi","0.99","0.7425"
"lesson cleopatra","0.99","0.7425"
"liaisons sweet","4.99","3.7425"
"liberty magnificent","2.99","2.2425"
"license weekend","2.99","2.2425"
"lies treatment","4.99","3.7425"
"life twisted","2.99","2.2425"
"lights deer","0.99","0.7425"
"lion uncut","0.99","0.7425"
"loathing legally","0.99","0.7425"
"lock rear","2.99","2.2425"
"lola agent","4.99","3.7425"
"lolita world","2.99","2.2425"
"lonely elephant","2.99","2.2425"
"lord arizona","2.99","2.2425"
"lose inch","0.99","0.7425"
"loser hustler","4.99","3.7425"
"lost bird","2.99","2.2425"
"louisiana harry","0.99","0.7425"
"love suicides","0.99","0.7425"
"lovely jingle","2.99","2.2425"
"lover truman","2.99","2.2425"
"loverboy attacks","0.99","0.7425"
"luck opus","2.99","2.2425"
"lucky flying","2.99","2.2425"
"luke mummy","2.99","2.2425"
"lust lock","2.99","2.2425"
"madigan dorado","4.99","3.7425"
"madison trap","2.99","2.2425"
"madness attacks","0.99","0.7425"
"madre gables","2.99","2.2425"
"magic mallrats","0.99","0.7425"
"magnificent chitty","2.99","2.2425"
"magnolia forrester","0.99","0.7425"
"maguire apache","2.99","2.2425"
"maiden home","4.99","3.7425"
"majestic floats","0.99","0.7425"
"maker gables","0.99","0.7425"
"malkovich pet","2.99","2.2425"
"mallrats united","0.99","0.7425"
"maltese hope","4.99","3.7425"
"manchurian curtain","2.99","2.2425"
"mannequin worst","2.99","2.2425"
"married go","2.99","2.2425"
"mars roman","0.99","0.7425"
"mask peach","2.99","2.2425"
"masked bubble","0.99","0.7425"
"massacre usual","4.99","3.7425"
"massage image","2.99","2.2425"
"matrix snowman","4.99","3.7425"
"maude mod","0.99","0.7425"
"meet chocolate","2.99","2.2425"
"memento zoolander","4.99","3.7425"
"menagerie rushmore","2.99","2.2425"
"mermaid insects","4.99","3.7425"
"metal armageddon","2.99","2.2425"
"metropolis coma","2.99","2.2425"
"microcosmos paradise","2.99","2.2425"
"midnight westward","0.99","0.7425"
"midsummer groundhog","4.99","3.7425"
"mighty luck","2.99","2.2425"
"mile mulan","0.99","0.7425"
"million ace","4.99","3.7425"
"minds truman","4.99","3.7425"
"mine titans","4.99","3.7425"
"minority kiss","0.99","0.7425"
"miracle virtual","2.99","2.2425"
"mission zoolander","4.99","3.7425"
"mixed doors","2.99","2.2425"
"mob duffel","0.99","0.7425"
"mockingbird hollywood","0.99","0.7425"
"mod secretary","4.99","3.7425"
"model fish","4.99","3.7425"
"modern dorado","0.99","0.7425"
"money harold","2.99","2.2425"
"monsoon cause","4.99","3.7425"
"monster spartacus","2.99","2.2425"
"monterey labyrinth","0.99","0.7425"
"montezuma command","0.99","0.7425"
"moon bunch","0.99","0.7425"
"moonshine cabin","4.99","3.7425"
"moonwalker fool","4.99","3.7425"
"mosquito armageddon","0.99","0.7425"
"mother oleander","0.99","0.7425"
"motions details","0.99","0.7425"
"moulin wake","0.99","0.7425"
"mourning purple","0.99","0.7425"
"movie shakespeare","4.99","3.7425"
"mulan moon","0.99","0.7425"
"mulholland beast","2.99","2.2425"
"mummy creatures","0.99","0.7425"
"muppet mile","4.99","3.7425"
"murder antitrust","2.99","2.2425"
"muscle bright","2.99","2.2425"
"music boondock","0.99","0.7425"
"musketeers wait","4.99","3.7425"
"mussolini spoilers","2.99","2.2425"
"mystic truman","0.99","0.7425"
"name detective","4.99","3.7425"
"nash chocolat","2.99","2.2425"
"national story","2.99","2.2425"
"natural stock","0.99","0.7425"
"necklace outbreak","0.99","0.7425"
"neighbors charade","0.99","0.7425"
"nemo campus","2.99","2.2425"
"network peak","2.99","2.2425"
"newsies story","0.99","0.7425"
"newton labyrinth","0.99","0.7425"
"nightmare chill","4.99","3.7425"
"none spiking","0.99","0.7425"
"noon papi","2.99","2.2425"
"north tequila","4.99","3.7425"
"northwest polish","2.99","2.2425"
"notorious reunion","0.99","0.7425"
"notting speakeasy","0.99","0.7425"
"novocaine flight","0.99","0.7425"
"nuts ties","4.99","3.7425"
"october submarine","4.99","3.7425"
"odds boogie","0.99","0.7425"
"oklahoma jumanji","0.99","0.7425"
"oleander clue","0.99","0.7425"
"open african","4.99","3.7425"
"operation operation","2.99","2.2425"
"opposite necklace","4.99","3.7425"
"opus ice","4.99","3.7425"
"orange grapes","0.99","0.7425"
"order betrayed","2.99","2.2425"
"orient closer","2.99","2.2425"
"oscar gold","2.99","2.2425"
"others soup","2.99","2.2425"
"outbreak divine","0.99","0.7425"
"outfield massacre","0.99","0.7425"
"outlaw hanky","4.99","3.7425"
"oz liaisons","2.99","2.2425"
"pacific amistad","0.99","0.7425"
"packer madigan","0.99","0.7425"
"pajama jawbreaker","0.99","0.7425"
"panic club","4.99","3.7425"
"panky submarine","4.99","3.7425"
"panther reds","4.99","3.7425"
"papi necklace","0.99","0.7425"
"paradise sabrina","2.99","2.2425"
"paris weekend","2.99","2.2425"
"park citizen","4.99","3.7425"
"party knock","2.99","2.2425"
"past suicides","4.99","3.7425"
"paths control","4.99","3.7425"
"patient sister","0.99","0.7425"
"patriot roman","2.99","2.2425"
"patton interview","2.99","2.2425"
"paycheck wait","4.99","3.7425"
"peach innocent","2.99","2.2425"
"peak forever","4.99","3.7425"
"pearl destiny","2.99","2.2425"
"pelican comforts","4.99","3.7425"
"perdition fargo","4.99","3.7425"
"perfect groove","2.99","2.2425"
"personal ladybugs","0.99","0.7425"
"pet haunting","0.99","0.7425"
"phantom glory","2.99","2.2425"
"philadelphia wife","4.99","3.7425"
"pianist outfield","0.99","0.7425"
"range moonwalker","4.99","3.7425"
"pickup driving","2.99","2.2425"
"pilot hoosiers","2.99","2.2425"
"pinocchio simon","4.99","3.7425"
"pirates roxanne","0.99","0.7425"
"pittsburgh hunchback","4.99","3.7425"
"pity bound","4.99","3.7425"
"pizza jumanji","2.99","2.2425"
"platoon instinct","4.99","3.7425"
"pluto oleander","4.99","3.7425"
"pocus pulp","0.99","0.7425"
"polish brooklyn","0.99","0.7425"
"pollock deliverance","2.99","2.2425"
"pond seattle","2.99","2.2425"
"poseidon forever","4.99","3.7425"
"potluck mixed","2.99","2.2425"
"potter connecticut","2.99","2.2425"
"prejudice oleander","4.99","3.7425"
"president bang","4.99","3.7425"
"pride alamo","0.99","0.7425"
"primary glass","0.99","0.7425"
"princess giant","2.99","2.2425"
"private drop","4.99","3.7425"
"prix undefeated","2.99","2.2425"
"psycho shrunk","2.99","2.2425"
"pulp beverly","2.99","2.2425"
"punk divorce","4.99","3.7425"
"pure runner","2.99","2.2425"
"purple movie","2.99","2.2425"
"queen luke","4.99","3.7425"
"quest mussolini","2.99","2.2425"
"quills bull","4.99","3.7425"
"racer egg","2.99","2.2425"
"rage games","4.99","3.7425"
"raging airplane","4.99","3.7425"
"raiders antitrust","0.99","0.7425"
"rainbow shock","4.99","3.7425"
"random go","2.99","2.2425"
"shepherd midsummer","0.99","0.7425"
"reap unfaithful","2.99","2.2425"
"rear trading","0.99","0.7425"
"rebel airport","0.99","0.7425"
"records zorro","4.99","3.7425"
"redemption comforts","2.99","2.2425"
"reds pocus","4.99","3.7425"
"reef salute","0.99","0.7425"
"reign gentlemen","2.99","2.2425"
"remember diary","2.99","2.2425"
"requiem tycoon","4.99","3.7425"
"reservoir adaptation","2.99","2.2425"
"resurrection silverado","0.99","0.7425"
"reunion witches","0.99","0.7425"
"rider caddyshack","2.99","2.2425"
"ridgemont submarine","0.99","0.7425"
"right cranes","4.99","3.7425"
"rings heartbreakers","0.99","0.7425"
"river outlaw","0.99","0.7425"
"road roxanne","4.99","3.7425"
"robbers joon","2.99","2.2425"
"robbery bright","0.99","0.7425"
"rock instinct","0.99","0.7425"
"rocketeer mother","0.99","0.7425"
"rocky war","4.99","3.7425"
"rollercoaster bringing","2.99","2.2425"
"roman punk","0.99","0.7425"
"roof champion","0.99","0.7425"
"room roman","0.99","0.7425"
"roots remember","0.99","0.7425"
"roses treasure","4.99","3.7425"
"rouge squad","0.99","0.7425"
"roxanne rebel","0.99","0.7425"
"rugrats shakespeare","0.99","0.7425"
"rules human","4.99","3.7425"
"run pacific","0.99","0.7425"
"runaway tenenbaums","0.99","0.7425"
"runner madigan","0.99","0.7425"
"rush goodfellas","0.99","0.7425"
"rushmore mermaid","2.99","2.2425"
"sabrina midnight","4.99","3.7425"
"saddle antitrust","2.99","2.2425"
"sagebrush clueless","2.99","2.2425"
"saints bride","2.99","2.2425"
"salute apollo","2.99","2.2425"
"samurai lion","2.99","2.2425"
"santa paris","2.99","2.2425"
"sassy packer","0.99","0.7425"
"satisfaction confidential","4.99","3.7425"
"saturday lambs","4.99","3.7425"
"saturn name","4.99","3.7425"
"savannah town","0.99","0.7425"
"scalawag duck","4.99","3.7425"
"scarface bang","4.99","3.7425"
"school jacket","4.99","3.7425"
"sleepy japanese","2.99","2.2425"
"scissorhands slums","2.99","2.2425"
"ship wonderland","2.99","2.2425"
"scorpion apollo","4.99","3.7425"
"sea virgin","2.99","2.2425"
"seabiscuit punk","2.99","2.2425"
"searchers wait","2.99","2.2425"
"seattle expecations","4.99","3.7425"
"secret groundhog","4.99","3.7425"
"secretary rouge","4.99","3.7425"
"secrets paradise","4.99","3.7425"
"sense greek","4.99","3.7425"
"sensibility rear","4.99","3.7425"
"seven swarm","4.99","3.7425"
"shakespeare saddle","2.99","2.2425"
"shane darkness","2.99","2.2425"
"shanghai tycoon","2.99","2.2425"
"shawshank bubble","4.99","3.7425"
"shining roses","0.99","0.7425"
"shock cabin","2.99","2.2425"
"shootist superfly","0.99","0.7425"
"show lord","4.99","3.7425"
"shrek license","2.99","2.2425"
